,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_hidden_dim,params_kernel_size,params_learning_rate,params_num_layers,params_weight_decay,state
31,31,,2024-04-26 13:23:28.809967,2024-04-26 13:23:31.925951,0 days 00:00:03.115984,0.5832788095817982,0.8772007172325127,29,3,0.008073930314630304,3,1.502750944945832e-05,FAIL
32,32,,2024-04-26 13:24:21.508921,2024-04-26 13:24:26.642652,0 days 00:00:05.133731,0.8977772670251425,0.9337421115677236,102,7,0.0035581694822658726,3,5.826860231422971e-05,FAIL
33,33,,2024-04-26 13:24:21.524077,2024-04-26 13:24:26.643904,0 days 00:00:05.119827,0.878932115448118,0.5058170379264795,112,3,0.004525641749312818,2,7.353267617601804e-05,FAIL
34,34,,2024-04-26 13:24:21.534660,2024-04-26 13:24:26.662020,0 days 00:00:05.127360,0.8717566924292329,0.8439322857695013,83,3,0.006316648794688085,1,1.5080025683620085e-05,FAIL
35,35,,2024-04-26 13:24:21.557703,2024-04-26 13:24:26.651437,0 days 00:00:05.093734,0.8671629587346027,0.680324188043957,104,3,0.003461742477262199,1,1.48159073296652e-05,FAIL
36,36,270.72691041876226,2024-04-26 13:53:51.632968,2024-04-26 14:14:21.979960,0 days 00:20:30.346992,0.716875463638123,0.5927563768301426,111,5,0.008835706923585712,1,6.303965252840704e-05,COMPLETE
37,37,359.9024227418941,2024-04-26 13:53:51.642049,2024-04-26 14:14:23.648283,0 days 00:20:32.006234,0.8294630326119699,0.9160839586435302,51,7,0.008648447107545748,2,7.935840718270502e-05,COMPLETE
38,38,302.88804969127045,2024-04-26 13:53:51.654377,2024-04-26 14:13:41.270626,0 days 00:19:49.616249,0.5592548043775151,0.6930866354085533,61,3,0.003729941681343842,1,9.50056416562905e-05,COMPLETE
39,39,2162.072075682801,2024-04-26 13:53:51.678727,2024-04-26 14:14:24.115011,0 days 00:20:32.436284,0.8735845110809084,0.9232709879418459,95,7,0.00031597332386358297,1,8.285724074986265e-06,COMPLETE
40,40,419.6838559361247,2024-04-26 14:13:41.303200,2024-04-26 14:48:51.801074,0 days 00:35:10.497874,0.63230974032501,0.6513859996658559,57,7,0.008872977889792008,1,6.707119026054065e-05,COMPLETE
41,41,164.60848305235695,2024-04-26 14:14:22.002018,2024-04-26 14:50:50.335207,0 days 00:36:28.333189,0.888613198170314,0.7015569518284245,99,5,0.00818969183536935,1,2.5052052045248817e-06,COMPLETE
42,42,437.51950206178606,2024-04-26 14:14:23.666042,2024-04-26 14:50:45.191771,0 days 00:36:21.525729,0.5981076664244449,0.7990738440292364,78,7,0.001005482783422485,2,7.016176982644344e-05,COMPLETE
43,43,379.75958187342724,2024-04-26 14:14:24.131008,2024-04-26 14:51:02.740717,0 days 00:36:38.609709,0.534061547359563,0.7774363168486732,79,5,0.004608281940751815,3,1.2452112417374252e-05,COMPLETE
44,44,331.83420458294097,2024-04-26 14:48:51.818204,2024-04-26 15:22:39.667328,0 days 00:33:47.849124,0.6305626248879769,0.6033242427418226,120,3,0.0006994417476707281,1,1.834716601262083e-05,COMPLETE
45,45,362.1455139886765,2024-04-26 14:50:45.207953,2024-04-26 15:27:11.093748,0 days 00:36:25.885795,0.8904520023418165,0.5157519006729302,25,5,0.005481308054103868,3,1.1188336242304111e-05,COMPLETE
46,46,,2024-04-26 14:50:50.354184,2024-04-26 15:28:54.577404,0 days 00:38:04.223220,0.8363324287689098,0.5009720195575459,98,3,0.005180184550965551,3,3.980439870351119e-06,FAIL
47,47,,2024-04-26 14:51:02.757523,2024-04-26 15:28:53.254173,0 days 00:37:50.496650,0.516860056157762,0.8122496878169343,71,7,0.0023609313912339703,3,9.825643332985948e-05,FAIL
48,48,480.0882984054037,2024-04-26 15:22:39.688326,2024-04-26 15:56:20.931965,0 days 00:33:41.243639,0.6539974230279204,0.7863614782280438,94,7,0.007778101485691856,3,4.0462323384539063e-05,COMPLETE
49,49,,2024-04-26 15:27:11.114067,2024-04-26 15:28:54.589890,0 days 00:01:43.475823,0.7604839291127312,0.8414313238983046,98,5,0.006372788527486465,2,3.571564604231944e-05,FAIL
