CPU Usage (%),RAM Usage (GB),GPU Usage (%),GPU Memory Usage (GB),Epoch Time (s)
27.1,39.010589599609375,88.0,78.49609375,6.327999591827393
46.5,38.992191314697266,93.0,78.49609375,4.437860012054443
50.5,38.907718658447266,39.0,78.49609375,4.335039138793945
47.4,39.00275421142578,32.0,78.49609375,4.266321659088135
48.0,38.985435485839844,27.0,78.49609375,4.02659797668457
42.2,38.98014831542969,76.0,78.49609375,6.7727437019348145
50.2,38.9777946472168,92.0,78.49609375,4.2789146900177
50.9,38.957420349121094,22.0,78.49609375,4.436889410018921
52.5,38.92799377441406,92.0,78.49609375,4.527050971984863
47.7,38.9659423828125,93.0,78.49609375,4.520355939865112
39.3,38.89668273925781,91.0,78.49609375,6.414794683456421
48.7,38.91543197631836,86.0,78.49609375,6.0099241733551025
48.4,38.971275329589844,15.0,78.49609375,5.296944856643677
49.0,38.973812103271484,85.0,78.49609375,5.644100904464722
52.2,39.62447738647461,85.0,78.49609375,6.445020914077759
47.3,41.65610122680664,3.0,78.49609375,8.278429508209229
54.7,43.03666305541992,89.0,78.49609375,5.23027491569519
54.2,44.73160171508789,90.0,78.49609375,5.843639850616455
52.6,38.96886444091797,24.0,78.49609375,4.877644062042236
49.3,38.94160461425781,24.0,78.49609375,3.9296953678131104
43.5,38.88803482055664,90.0,78.49609375,6.8035500049591064
