CPU Usage (%),RAM Usage (GB),GPU Usage (%),GPU Memory Usage (GB),Epoch Time (s)
0.0,6.675834655761719,0,0.83984375,6.4139487743377686
0.0,6.763618469238281,30,0.83984375,3.9848406314849854
0.0,6.7403106689453125,24,0.83984375,3.9702539443969727
0.0,6.763751983642578,37,0.83984375,4.2898712158203125
0.0,6.752037048339844,25,0.83984375,3.8540422916412354
0.0,6.752864837646484,92,0.83984375,6.037710666656494
0.0,6.741146087646484,90,0.83984375,4.7301414012908936
0.0,6.747016906738281,38,0.83984375,4.604199409484863
0.0,6.747016906738281,91,0.83984375,4.631374835968018
0.0,6.729438781738281,27,0.83984375,4.777144193649292
0.0,6.733428955078125,38,0.83984375,5.707250595092773
0.0,6.768585205078125,22,0.83984375,4.2625110149383545
0.0,6.698394775390625,92,0.83984375,4.354933977127075
0.0,6.745147705078125,91,0.83984375,4.995805978775024
0.0,6.745147705078125,92,0.83984375,5.165322542190552
0.0,6.757026672363281,91,0.83984375,7.05576491355896
0.0,6.698131561279297,90,0.83984375,4.387643098831177
0.0,6.698131561279297,91,0.83984375,4.663492679595947
0.0,6.6981353759765625,92,0.83984375,4.953351259231567
0.0,6.756671905517578,92,0.83984375,4.408177614212036
0.0,6.773097991943359,91,0.83984375,6.6354429721832275
0.0,6.714626312255859,96,0.83984375,4.379396915435791
0.0,6.714626312255859,94,0.83984375,4.391026735305786
0.0,6.726345062255859,78,0.83984375,4.7388622760772705
0.0,6.738063812255859,92,0.83984375,4.646372318267822
0.0,6.726367950439453,86,0.83984375,7.245798349380493
0.0,6.784839630126953,93,0.83984375,5.324596881866455
0.0,6.749748229980469,90,0.83984375,5.386287689208984
0.0,6.796558380126953,92,0.83984375,4.263933420181274
0.0,6.749691009521484,89,0.83984375,5.596191644668579
0.0,6.750297546386719,91,0.83984375,7.36480188369751
0.0,6.762016296386719,92,0.83984375,4.617859601974487
0.0,6.762016296386719,26,0.83984375,4.853034734725952
0.0,6.762020111083984,76,0.83984375,4.244471311569214
0.0,6.762020111083984,91,0.83984375,4.070486783981323
0.0,6.73870849609375,92,0.83984375,5.676936388015747
