Epoch: 108, batch-idx: 735, L1: 0.8316633701324463
Epoch: 109, batch-idx: 735, L1: 0.7542654871940613
Epoch: 110, batch-idx: 735, L1: 0.7842308878898621
Epoch: 111, batch-idx: 735, L1: 0.8813501000404358
Epoch: 112, batch-idx: 735, L1: 0.9139726758003235
Epoch: 113, batch-idx: 735, L1: 0.9874040484428406
Epoch: 114, batch-idx: 735, L1: 1.048172116279602
Epoch: 115, batch-idx: 735, L1: 0.7637751698493958
Epoch: 116, batch-idx: 735, L1: 0.8467483520507812
Epoch: 117, batch-idx: 735, L1: 1.0332615375518799
Epoch: 118, batch-idx: 735, L1: 0.7649003267288208
Epoch: 119, batch-idx: 735, L1: 0.6743575930595398
Epoch: 120, batch-idx: 735, L1: 0.7523378729820251
Epoch: 121, batch-idx: 735, L1: 0.732526421546936
Epoch: 122, batch-idx: 735, L1: 0.9510077238082886
Epoch: 123, batch-idx: 735, L1: 0.7727051973342896
Epoch: 124, batch-idx: 735, L1: 0.8316293954849243
Epoch: 125, batch-idx: 735, L1: 1.475462794303894
Epoch: 126, batch-idx: 735, L1: 0.6966069340705872
Epoch: 127, batch-idx: 735, L1: 0.8679105043411255
Epoch: 128, batch-idx: 735, L1: 0.7779276967048645
Epoch: 129, batch-idx: 735, L1: 0.9583629965782166
Epoch: 130, batch-idx: 735, L1: 0.7643219232559204
Epoch: 131, batch-idx: 735, L1: 0.8366748690605164
Epoch: 132, batch-idx: 735, L1: 0.6544479727745056
Epoch: 133, batch-idx: 735, L1: 0.6473809480667114
Epoch: 134, batch-idx: 735, L1: 0.6826292872428894
Epoch: 135, batch-idx: 735, L1: 0.7853224873542786
Epoch: 136, batch-idx: 735, L1: 0.7807177901268005
Epoch: 137, batch-idx: 735, L1: 0.7682943344116211
Epoch: 138, batch-idx: 735, L1: 1.05181884765625
Epoch: 139, batch-idx: 735, L1: 0.7424806356430054
Epoch: 140, batch-idx: 735, L1: 0.6844324469566345
Epoch: 141, batch-idx: 735, L1: 1.5398062467575073
Epoch: 142, batch-idx: 735, L1: 0.7880518436431885
Epoch: 143, batch-idx: 735, L1: 0.8283200860023499
Epoch: 144, batch-idx: 735, L1: 0.666956901550293
Epoch: 145, batch-idx: 735, L1: 1.0058223009109497
Epoch: 146, batch-idx: 735, L1: 0.6720442175865173
Epoch: 147, batch-idx: 735, L1: 0.7961663007736206
Epoch: 148, batch-idx: 735, L1: 0.6685642600059509
Epoch: 149, batch-idx: 735, L1: 0.712988018989563
Epoch: 150, batch-idx: 735, L1: 1.1572983264923096
Epoch: 151, batch-idx: 735, L1: 0.6101999282836914
Epoch: 152, batch-idx: 735, L1: 0.7100507020950317
Epoch: 153, batch-idx: 735, L1: 0.7454957962036133
Epoch: 154, batch-idx: 735, L1: 0.6924943327903748
Epoch: 155, batch-idx: 735, L1: 0.7548961043357849
Epoch: 156, batch-idx: 735, L1: 0.8391552567481995
Epoch: 157, batch-idx: 735, L1: 0.7472976446151733
Epoch: 158, batch-idx: 735, L1: 0.8302459120750427
Epoch: 159, batch-idx: 735, L1: 0.6126756072044373
Epoch: 160, batch-idx: 735, L1: 0.7640957236289978
Epoch: 161, batch-idx: 735, L1: 0.8565253019332886
Epoch: 162, batch-idx: 735, L1: 1.0839310884475708
Epoch: 163, batch-idx: 735, L1: 0.8526732921600342
Epoch: 164, batch-idx: 735, L1: 0.8843221664428711
Epoch: 165, batch-idx: 735, L1: 0.6683603525161743
Epoch: 166, batch-idx: 735, L1: 0.8862857818603516
Epoch: 167, batch-idx: 735, L1: 0.7827719449996948
Epoch: 168, batch-idx: 735, L1: 0.8592928647994995
Epoch: 169, batch-idx: 735, L1: 0.8178738355636597
Epoch: 170, batch-idx: 735, L1: 0.7675878405570984
Epoch: 171, batch-idx: 735, L1: 1.1852004528045654
Epoch: 172, batch-idx: 735, L1: 0.770015299320221
Epoch: 173, batch-idx: 735, L1: 0.6505215764045715
Epoch: 174, batch-idx: 735, L1: 0.6655089855194092
Epoch: 175, batch-idx: 735, L1: 0.942987859249115
Epoch: 176, batch-idx: 735, L1: 0.6395254135131836
Epoch: 177, batch-idx: 735, L1: 0.6637982130050659
Epoch: 178, batch-idx: 735, L1: 0.7587664127349854
Epoch: 179, batch-idx: 735, L1: 0.6133899092674255
Epoch: 180, batch-idx: 735, L1: 0.670789361000061
Epoch: 181, batch-idx: 735, L1: 0.6234403252601624
Epoch: 182, batch-idx: 735, L1: 0.6905409693717957
Epoch: 183, batch-idx: 735, L1: 0.6420413851737976
Epoch: 184, batch-idx: 735, L1: 0.7685328722000122
Epoch: 185, batch-idx: 735, L1: 0.6515753865242004
Epoch: 186, batch-idx: 735, L1: 0.6972929835319519
