CPU Usage (%),RAM Usage (GB),GPU Usage (%),GPU Memory Usage (GB),Epoch times (seconds)
0.0,6.8750152587890625,3,0.93359375,7.085723638534546
0.0,6.915618896484375,43,0.93359375,4.091337203979492
0.0,6.919200897216797,92,0.93359375,4.63944673538208
0.0,6.874134063720703,90,0.93359375,4.000170707702637
0.0,6.918556213378906,43,0.93359375,4.222548484802246
0.0,6.962333679199219,2,0.93359375,6.0355541706085205
0.0,6.909736633300781,42,0.93359375,4.279305696487427
0.0,6.928401947021484,84,0.93359375,4.3497374057769775
0.0,6.904975891113281,95,0.93359375,4.125508546829224
0.0,6.940010070800781,33,0.93359375,4.3343729972839355
0.0,6.928958892822266,87,0.935546875,5.811264991760254
0.0,6.912723541259766,42,0.935546875,4.528011322021484
0.0,6.937496185302734,5,0.935546875,5.544466495513916
0.0,6.912727355957031,49,0.935546875,4.342899322509766
0.0,6.924228668212891,90,0.935546875,4.556682825088501
0.0,6.933277130126953,86,0.935546875,6.746826171875
0.0,6.902976989746094,1,0.935546875,4.509366512298584
0.0,6.90545654296875,49,0.935546875,3.904237747192383
0.0,6.893585205078125,40,0.935546875,4.235860824584961
0.0,6.90057373046875,93,0.935546875,4.887012004852295
0.0,6.9330902099609375,87,0.935546875,6.088314533233643
0.0,6.944843292236328,50,0.935546875,4.7216339111328125
0.0,6.933097839355469,88,0.935546875,4.457329750061035
0.0,6.933170318603516,91,0.935546875,4.079375505447388
0.0,6.944889068603516,47,0.935546875,5.060379981994629
0.0,6.944934844970703,86,0.935546875,5.753840684890747
0.0,6.944812774658203,28,0.935546875,4.0369791984558105
0.0,6.944812774658203,46,0.935546875,3.9511773586273193
0.0,6.933162689208984,55,0.935546875,3.7107672691345215
0.0,6.933147430419922,82,0.935546875,4.261959075927734
0.0,6.944862365722656,10,0.935546875,5.690707445144653
0.0,6.933223724365234,93,0.935546875,4.482744455337524
0.0,6.933223724365234,46,0.935546875,4.53173041343689
0.0,6.985752105712891,44,0.935546875,4.041980266571045
0.0,6.944908142089844,88,0.935546875,4.365182399749756
0.0,6.962287902832031,6,0.935546875,5.739077568054199
0.0,6.933223724365234,90,0.935546875,4.618177890777588
0.0,6.933204650878906,45,0.935546875,4.402634859085083
0.0,6.933216094970703,54,0.935546875,4.025087118148804
0.0,6.950801849365234,88,0.935546875,4.337886810302734
0.0,7.003414154052734,92,0.935546875,6.442519903182983
0.0,7.00341796875,92,0.935546875,4.181570768356323
0.0,7.00341796875,53,0.935546875,4.284817695617676
0.0,7.00341796875,57,0.935546875,3.7326910495758057
0.0,7.00341796875,52,0.935546875,3.8565673828125
0.0,7.00341796875,6,0.935546875,5.695306777954102
0.0,7.00341796875,54,0.935546875,3.8461596965789795
0.0,7.00341796875,50,0.935546875,3.9128992557525635
0.0,7.00341796875,93,0.935546875,4.5541698932647705
0.0,7.00341796875,31,0.935546875,4.375136137008667
0.0,7.00341796875,81,0.935546875,5.484250068664551
0.0,7.003421783447266,56,0.935546875,3.763010263442993
0.0,7.003421783447266,50,0.935546875,3.9689784049987793
