CPU Usage (%),RAM Usage (GB),GPU Usage (%),GPU Memory Usage (GB),Epoch times (seconds)
59.2,45.058841705322266,92.0,79.056640625,11.075568199157715
73.2,45.097965240478516,90.0,79.13671875,7.512004852294922
79.8,45.111637115478516,94.0,79.13671875,8.824117422103882
79.6,45.14849853515625,93.0,79.13671875,8.437491178512573
76.8,45.06294250488281,90.0,79.13671875,7.864383697509766
70.5,45.09497833251953,91.0,79.13671875,9.494285821914673
69.3,45.132179260253906,0.0,79.13671875,6.752550840377808
78.6,45.19160079956055,0.0,79.13671875,8.453294515609741
75.7,45.242706298828125,92.0,79.13671875,6.92466402053833
78.3,45.22320556640625,82.0,79.13671875,8.16294264793396
74.1,45.27116012573242,93.0,79.13671875,10.833369493484497
70.4,45.30168533325195,100.0,79.13671875,7.152274131774902
74.8,45.34768295288086,5.0,79.13671875,7.04664945602417
79.0,45.23241424560547,85.0,79.13671875,8.813464879989624
76.9,45.24613952636719,72.0,79.13671875,7.4161365032196045
68.5,45.3316764831543,0.0,79.13671875,9.044954299926758
69.8,45.32296371459961,0.0,79.13671875,7.056283712387085
76.1,45.268646240234375,20.0,79.13671875,7.50874400138855
77.3,45.243953704833984,92.0,79.13671875,7.933584451675415
83.6,45.241371154785156,92.0,79.13671875,11.60353136062622
71.0,45.24441146850586,82.0,79.13671875,10.449006080627441
78.8,45.25199890136719,87.0,79.13671875,8.990013360977173
79.7,45.309391021728516,3.0,79.13671875,8.475502490997314
74.8,45.36969757080078,93.0,79.13671875,6.802112579345703
77.4,45.28759002685547,88.0,79.13671875,8.207023620605469
70.1,45.28619384765625,91.0,79.13671875,9.844963788986206
72.7,45.31147766113281,92.0,79.13671875,7.170320510864258
77.0,45.28122329711914,100.0,79.13671875,7.848110198974609
76.4,45.23197555541992,91.0,79.13671875,7.859257936477661
78.5,45.28876495361328,97.0,79.13671875,8.261457204818726
67.9,45.24123001098633,89.0,79.13671875,9.407375574111938
78.3,45.480690002441406,95.0,79.13671875,8.081640720367432
79.3,45.72605895996094,97.0,79.13671875,8.925953388214111
77.7,45.71500778198242,87.0,79.13671875,8.171414375305176
78.3,45.646629333496094,90.0,79.13671875,8.489570617675781
67.2,45.72466278076172,88.0,79.13671875,10.102028131484985
79.2,45.73097229003906,94.0,79.13671875,8.898987531661987
78.8,45.771610260009766,2.0,79.13671875,8.776692628860474
76.8,45.800968170166016,7.0,79.13671875,7.762478828430176
77.3,45.66856002807617,4.0,79.13671875,7.872983932495117
68.3,45.64004898071289,26.0,79.13671875,9.960252523422241
76.9,45.716915130615234,45.0,79.13671875,7.640833139419556
77.3,45.63980484008789,92.0,79.13671875,7.430206298828125
80.3,45.22396469116211,93.0,79.13671875,8.971067667007446
