,number,value,datetime_start,datetime_complete,duration,params_beta1,params_beta2,params_criterion,params_hidden_dim,params_kernel_size,params_learning_rate,params_num_layers,params_weight_decay,state
0,0,13.40403009389902,2024-04-25 21:17:46.165622,2024-04-25 21:34:00.733941,0 days 00:16:14.568319,0.8819875827261273,0.8028569545654025,l1,97,3,0.005935296005992052,3,7.369962766300072e-05,COMPLETE
1,1,14.8176167971128,2024-04-25 21:17:46.171276,2024-04-25 21:33:59.033621,0 days 00:16:12.862345,0.6540622664337863,0.9559712135790255,l1,100,3,0.005891811163121606,1,9.323393444928509e-05,COMPLETE
