CPU Usage (%),RAM Usage (GB),GPU Usage (%),GPU Memory Usage (GB),Epoch times (seconds)
0.0,6.881046295166016,100,0.93359375,8.866255044937134
0.0,6.852298736572266,100,0.93359375,6.023791313171387
0.0,6.909015655517578,93,0.93359375,5.895262718200684
0.0,6.859302520751953,94,0.93359375,4.900348424911499
0.0,6.920692443847656,100,0.93359375,6.080491542816162
0.0,6.915431976318359,99,0.93359375,6.802689790725708
0.0,6.916378021240234,97,0.93359375,4.893301010131836
0.0,6.9129486083984375,100,0.93359375,4.659512758255005
0.0,6.9128265380859375,100,0.93359375,4.478755712509155
0.0,6.895366668701172,98,0.93359375,4.46457314491272
0.0,6.919349670410156,100,0.935546875,6.22897744178772
0.0,6.920661926269531,98,0.935546875,4.427698612213135
0.0,6.920665740966797,100,0.935546875,4.406798601150513
0.0,6.9908599853515625,26,0.935546875,5.4568798542022705
0.0,6.973289489746094,100,0.935546875,4.978219509124756
0.0,6.946464538574219,17,0.935546875,7.62785530090332
0.0,6.94622802734375,100,0.935546875,5.12310004234314
0.0,6.946464538574219,100,0.935546875,5.4627580642700195
0.0,6.946464538574219,97,0.935546875,5.126969337463379
0.0,6.952304840087891,100,0.935546875,5.420267820358276
0.0,6.952358245849609,100,0.935546875,7.138275384902954
0.0,6.946510314941406,95,0.935546875,5.3568572998046875
0.0,6.9465179443359375,87,0.935546875,5.5221266746521
0.0,6.9465179443359375,100,0.935546875,5.428293228149414
0.0,6.9465179443359375,100,0.935546875,5.36090350151062
0.0,6.946628570556641,97,0.935546875,7.227393627166748
0.0,6.934925079345703,100,0.935546875,5.1328489780426025
0.0,6.946750640869141,87,0.935546875,5.766602039337158
0.0,6.934833526611328,100,0.935546875,5.060356855392456
0.0,6.935024261474609,100,0.935546875,5.742331266403198
0.0,6.927577972412109,100,0.935546875,7.722735166549683
0.0,6.933437347412109,100,0.935546875,5.46866512298584
0.0,6.933437347412109,100,0.935546875,5.433177709579468
0.0,6.921619415283203,97,0.935546875,4.980660676956177
0.0,6.933437347412109,91,0.935546875,5.107009649276733
0.0,6.933380126953125,100,0.935546875,7.213387727737427
0.0,6.933437347412109,100,0.935546875,5.496258020401001
0.0,6.921718597412109,100,0.935546875,5.338823080062866
0.0,6.921630859375,100,0.935546875,4.923044204711914
0.0,6.921577453613281,100,0.935546875,5.10517692565918
0.0,6.933727264404297,100,0.935546875,7.447815179824829
0.0,6.9219207763671875,100,0.935546875,6.0323264598846436
0.0,6.927814483642578,100,0.935546875,6.056894540786743
0.0,6.9220123291015625,96,0.935546875,5.577016830444336
0.0,6.921955108642578,100,0.935546875,5.462429046630859
0.0,6.933681488037109,100,0.935546875,7.326331853866577
0.0,6.9219512939453125,100,0.935546875,5.33529257774353
0.0,6.9220123291015625,100,0.935546875,6.2496559619903564
0.0,6.921806335449219,100,0.935546875,5.408213138580322
0.0,6.9220123291015625,100,0.935546875,6.801291465759277
0.0,6.919334411621094,100,0.935546875,8.09626054763794
0.0,6.919124603271484,100,0.935546875,5.4298930168151855
0.0,6.919181823730469,100,0.935546875,5.247393846511841
0.0,6.930660247802734,54,0.935546875,5.809237480163574
0.0,6.919338226318359,100,0.935546875,5.643320798873901
0.0,6.931041717529297,89,0.935546875,7.649278163909912
0.0,6.954494476318359,100,0.935546875,5.098113775253296
0.0,6.919319152832031,97,0.935546875,4.727165937423706
0.0,6.919307708740234,46,0.935546875,4.997641086578369
0.0,6.931056976318359,100,0.935546875,5.317641973495483
0.0,6.94268798828125,100,0.935546875,7.005575656890869
0.0,6.931060791015625,100,0.935546875,5.088460445404053
0.0,6.954498291015625,99,0.935546875,4.88785719871521
0.0,6.954410552978516,100,0.935546875,5.936635255813599
0.0,6.919147491455078,100,0.935546875,5.946406126022339
0.0,6.919342041015625,100,0.935546875,7.6341776847839355
0.0,6.930988311767578,100,0.935546875,5.594125986099243
0.0,6.930900573730469,98,0.935546875,5.1572558879852295
