CPU Usage (%),RAM Usage (GB),GPU Usage (%),GPU Memory Usage (GB),Epoch Time (s)
0.0,6.6918792724609375,100,13.451171875,311.6650981903076
0.0,6.764549255371094,45,13.451171875,407.3724308013916
0.0,6.764549255371094,98,13.451171875,191.50725531578064
0.0,6.765041351318359,100,13.451171875,238.01690483093262
0.0,6.765041351318359,21,13.451171875,244.98743176460266
0.0,6.792690277099609,64,13.451171875,229.16355204582214
0.0,6.792690277099609,98,13.451171875,230.06210613250732
0.0,6.780971527099609,100,13.451171875,226.52879524230957
0.0,6.780971527099609,100,13.451171875,242.7913360595703
0.0,6.792690277099609,100,13.451171875,236.38977932929993
0.0,6.7931365966796875,94,13.451171875,238.82713079452515
0.0,6.742832183837891,40,13.451171875,225.09682965278625
0.0,6.789588928222656,88,13.451171875,235.64830136299133
0.0,6.801307678222656,25,13.451171875,230.3242359161377
0.0,6.789588928222656,91,13.451171875,216.5375907421112
0.0,6.792350769042969,100,13.451171875,229.22298526763916
0.0,6.804069519042969,100,13.451171875,222.98782300949097
0.0,6.804069519042969,97,13.451171875,232.95307874679565
0.0,6.768913269042969,100,13.451171875,219.0950562953949
0.0,6.792350769042969,100,13.451171875,231.27075743675232
0.0,6.768955230712891,98,13.451171875,232.43337845802307
0.0,6.804115295410156,98,13.451171875,228.764395236969
0.0,6.768959045410156,86,13.451171875,226.3450026512146
0.0,6.792396545410156,100,13.451171875,241.13964676856995
0.0,6.768959045410156,100,13.451171875,221.1055827140808
0.0,6.743480682373047,37,13.451171875,243.09831762313843
0.0,6.743480682373047,100,13.451171875,223.0083122253418
0.0,6.755199432373047,90,13.451171875,219.3157320022583
0.0,6.743480682373047,3,13.451171875,223.24071383476257
0.0,6.755199432373047,100,13.451171875,224.09092116355896
0.0,6.778514862060547,100,13.451171875,220.66371512413025
0.0,6.778514862060547,46,13.451171875,252.3541088104248
0.0,6.790233612060547,96,13.451171875,153.80060386657715
0.0,6.778514862060547,97,13.451171875,128.06471037864685
0.0,6.778514862060547,98,13.451171875,127.86011123657227
0.0,6.825386047363281,97,13.451171875,129.47344326972961
0.0,6.766918182373047,97,13.451171875,127.83491659164429
0.0,6.837108612060547,97,13.451171875,127.89235758781433
0.0,6.743480682373047,97,13.451171875,127.91590452194214
0.0,6.813465118408203,96,13.451171875,127.85648393630981
0.0,6.778533935546875,97,13.451171875,129.62712860107422
0.0,6.813438415527344,96,13.451171875,127.967702627182
0.0,6.813697814941406,98,13.451171875,127.88337826728821
0.0,6.790260314941406,97,13.451171875,127.9017436504364
0.0,6.813697814941406,97,13.451171875,127.98765468597412
0.0,6.837146759033203,98,13.451171875,129.95085620880127
0.0,6.837146759033203,97,13.451171875,239.28823590278625
0.0,6.825428009033203,100,13.451171875,198.97144103050232
0.0,6.825428009033203,100,13.451171875,270.72063064575195
0.0,6.825428009033203,100,13.451171875,271.01838541030884
0.0,6.7786712646484375,100,13.451171875,272.69399881362915
0.0,6.778553009033203,98,13.451171875,239.58495235443115
0.0,6.778553009033203,100,13.451171875,297.3231871128082
0.0,6.778553009033203,100,13.451171875,207.20495867729187
0.0,6.778553009033203,98,13.451171875,209.11293530464172
0.0,6.813709259033203,100,13.451171875,203.08495473861694
0.0,6.790271759033203,100,13.451171875,195.01470756530762
0.0,6.801990509033203,97,13.451171875,193.20100116729736
0.0,6.743518829345703,97,13.451171875,186.95759844779968
0.0,6.801990509033203,100,13.451171875,181.179927110672
0.0,6.743518829345703,3,13.451171875,181.6288709640503
0.0,6.8019866943359375,95,13.451171875,178.72930932044983
0.0,6.755241394042969,97,13.451171875,185.34605312347412
0.0,6.801944732666016,100,13.451171875,179.29645204544067
0.0,6.801994323730469,100,13.451171875,177.03570771217346
0.0,6.778556823730469,100,13.451171875,188.7252857685089
0.0,6.766834259033203,100,13.451171875,245.0223889350891
0.0,6.790271759033203,100,13.451171875,178.85739016532898
0.0,6.790271759033203,97,13.451171875,180.39208340644836
0.0,6.790271759033203,100,13.451171875,180.01981019973755
0.0,6.790271759033203,100,13.451171875,178.89459419250488
0.0,6.790275573730469,100,13.451171875,177.07957434654236
0.0,6.790275573730469,96,13.451171875,178.95249843597412
0.0,6.778556823730469,100,13.451171875,179.47415280342102
0.0,6.790275573730469,100,13.451171875,177.23943066596985
0.0,6.778556823730469,100,13.451171875,178.29394459724426
0.0,6.778556823730469,97,13.451171875,177.5333833694458
0.0,6.778556823730469,50,13.451171875,178.83633494377136
0.0,6.779045104980469,100,13.451171875,177.81014370918274
0.0,6.778530120849609,100,13.451171875,179.54007267951965
0.0,6.778682708740234,97,13.451171875,180.95288133621216
0.0,6.8138580322265625,97,13.451171875,180.85062837600708
0.0,6.7553863525390625,96,13.451171875,180.39557480812073
0.0,6.7904205322265625,97,13.451171875,178.22011947631836
0.0,6.7787017822265625,97,13.451171875,179.38261151313782
0.0,6.813873291015625,94,13.451171875,180.67559719085693
0.0,6.790435791015625,100,13.451171875,180.50514483451843
0.0,6.790435791015625,100,13.451171875,179.2012379169464
0.0,6.813873291015625,94,13.451171875,180.13344883918762
0.0,6.790435791015625,90,13.451171875,178.65615701675415
0.0,6.779247283935547,100,13.451171875,180.07799983024597
0.0,6.8026885986328125,95,13.451171875,179.66537261009216
0.0,6.7909698486328125,97,13.451171875,178.38767790794373
0.0,6.7792510986328125,97,13.451171875,178.38246893882751
0.0,6.8026885986328125,100,13.451171875,179.68415474891663
0.0,6.802284240722656,100,13.451171875,180.22691178321838
0.0,6.8026885986328125,97,13.451171875,178.16485381126404
0.0,6.7909698486328125,99,13.451171875,179.49404883384705
0.0,6.7909698486328125,97,13.451171875,180.15245246887207
0.0,6.7909698486328125,97,13.451171875,178.5054407119751
