Epoch: 1, batch-idx: 1511, L1: 4.616322040557861
Epoch: 2, batch-idx: 1511, L1: 4.119603157043457
Epoch: 3, batch-idx: 1511, L1: 3.5592567920684814
Epoch: 4, batch-idx: 1511, L1: 2.373879909515381
Epoch: 5, batch-idx: 1511, L1: 1.7095770835876465
Epoch: 6, batch-idx: 1511, L1: 3.0221574306488037
Epoch: 7, batch-idx: 1511, L1: 1.5842020511627197
Epoch: 8, batch-idx: 1511, L1: 1.4543726444244385
Epoch: 9, batch-idx: 1511, L1: 1.6532052755355835
Epoch: 10, batch-idx: 1511, L1: 7.9800333976745605
Epoch: 11, batch-idx: 1511, L1: 3.442004919052124
Epoch: 12, batch-idx: 1511, L1: 1.8813626766204834
Epoch: 13, batch-idx: 1511, L1: 1.5108696222305298
Epoch: 14, batch-idx: 1511, L1: 2.2556631565093994
Epoch: 15, batch-idx: 1511, L1: 1.765043020248413
Epoch: 16, batch-idx: 1511, L1: 1.5588314533233643
Epoch: 17, batch-idx: 1511, L1: 2.405168056488037
Epoch: 18, batch-idx: 1511, L1: 4.135529518127441
Epoch: 19, batch-idx: 1511, L1: 1.1746193170547485
Epoch: 20, batch-idx: 1511, L1: 0.8908960819244385
Epoch: 21, batch-idx: 1511, L1: 1.392824411392212
Epoch: 22, batch-idx: 1511, L1: 1.294296145439148
Epoch: 23, batch-idx: 1511, L1: 1.582082986831665
Epoch: 24, batch-idx: 1511, L1: 0.9828132390975952
Epoch: 25, batch-idx: 1511, L1: 3.0212416648864746
Epoch: 26, batch-idx: 1511, L1: 0.781078040599823
Epoch: 27, batch-idx: 1511, L1: 1.167051076889038
Epoch: 28, batch-idx: 1511, L1: 1.0293800830841064
Epoch: 29, batch-idx: 1511, L1: 1.4393781423568726
Epoch: 30, batch-idx: 1511, L1: 1.1865999698638916
Epoch: 31, batch-idx: 1511, L1: 1.1311689615249634
Epoch: 32, batch-idx: 1511, L1: 1.0279971361160278
Epoch: 33, batch-idx: 1511, L1: 0.828476071357727
Epoch: 34, batch-idx: 1511, L1: 1.0737439393997192
Epoch: 35, batch-idx: 1511, L1: 1.0022109746932983
Epoch: 36, batch-idx: 1511, L1: 0.9014880061149597
Epoch: 37, batch-idx: 1511, L1: 0.7103960514068604
Epoch: 38, batch-idx: 1511, L1: 0.7735196948051453
Epoch: 39, batch-idx: 1511, L1: 0.8746114373207092
Epoch: 40, batch-idx: 1511, L1: 0.8528679609298706
Epoch: 41, batch-idx: 1511, L1: 1.4735302925109863
Epoch: 42, batch-idx: 1511, L1: 0.8972936868667603
Epoch: 43, batch-idx: 1511, L1: 0.7570934891700745
Epoch: 44, batch-idx: 1511, L1: 0.680494487285614
Epoch: 45, batch-idx: 1511, L1: 0.781624972820282
Epoch: 46, batch-idx: 1511, L1: 0.9454267024993896
Epoch: 47, batch-idx: 1511, L1: 1.0240638256072998
Epoch: 48, batch-idx: 1511, L1: 0.8079822659492493
Epoch: 49, batch-idx: 1511, L1: 0.753409206867218
Epoch: 50, batch-idx: 1511, L1: 1.051055908203125
Epoch: 51, batch-idx: 1511, L1: 0.8022298216819763
Epoch: 52, batch-idx: 1511, L1: 0.8216478228569031
Epoch: 53, batch-idx: 1511, L1: 0.7212841510772705
Epoch: 54, batch-idx: 1511, L1: 0.7711855173110962
Epoch: 55, batch-idx: 1511, L1: 0.8978880047798157
Epoch: 56, batch-idx: 1511, L1: 0.6297318935394287
Epoch: 57, batch-idx: 1511, L1: 0.6655040383338928
Epoch: 58, batch-idx: 1511, L1: 0.6186855435371399
Epoch: 59, batch-idx: 1511, L1: 0.7223891615867615
Epoch: 60, batch-idx: 1511, L1: 0.8181154727935791
Epoch: 61, batch-idx: 1511, L1: 0.7698708176612854
Epoch: 62, batch-idx: 1511, L1: 0.6266546845436096
Epoch: 63, batch-idx: 1511, L1: 1.130994200706482
Epoch: 64, batch-idx: 1511, L1: 0.637525737285614
Epoch: 65, batch-idx: 1511, L1: 0.7176549434661865
Epoch: 66, batch-idx: 1511, L1: 0.6986897587776184
Epoch: 67, batch-idx: 1511, L1: 0.7236284017562866
Epoch: 68, batch-idx: 1511, L1: 0.7293906807899475
Epoch: 69, batch-idx: 1511, L1: 0.7531505227088928
Epoch: 70, batch-idx: 1511, L1: 0.6428613066673279
Epoch: 71, batch-idx: 1511, L1: 0.6434532403945923
Epoch: 72, batch-idx: 1511, L1: 0.7180642485618591
Epoch: 73, batch-idx: 1511, L1: 0.6452333927154541
Epoch: 74, batch-idx: 1511, L1: 0.6939429044723511
Epoch: 75, batch-idx: 1511, L1: 0.6646386384963989
Epoch: 76, batch-idx: 1511, L1: 0.7229453921318054
Epoch: 77, batch-idx: 1511, L1: 0.6666437387466431
Epoch: 78, batch-idx: 1511, L1: 0.8766449093818665
Epoch: 79, batch-idx: 1511, L1: 0.7896521091461182
Epoch: 80, batch-idx: 1511, L1: 0.5877179503440857
Epoch: 81, batch-idx: 1511, L1: 0.5771344900131226
Epoch: 82, batch-idx: 1511, L1: 0.5297737121582031
Epoch: 83, batch-idx: 1511, L1: 0.7051641941070557
Epoch: 84, batch-idx: 1511, L1: 0.6564264297485352
Epoch: 85, batch-idx: 1511, L1: 0.6143578886985779
Epoch: 86, batch-idx: 1511, L1: 0.6377572417259216
Epoch: 87, batch-idx: 1511, L1: 0.556949257850647
Epoch: 88, batch-idx: 1511, L1: 0.8613775372505188
Epoch: 89, batch-idx: 1511, L1: 0.6824866533279419
Epoch: 90, batch-idx: 1511, L1: 0.5368747115135193
Epoch: 91, batch-idx: 1511, L1: 0.6560500860214233
Epoch: 92, batch-idx: 1511, L1: 0.8040640354156494
Epoch: 93, batch-idx: 1511, L1: 0.6591861248016357
Epoch: 94, batch-idx: 1511, L1: 0.6247433423995972
Epoch: 95, batch-idx: 1511, L1: 0.6125357747077942
Epoch: 96, batch-idx: 1511, L1: 0.7382189631462097
Epoch: 97, batch-idx: 1511, L1: 0.5951692461967468
Epoch: 98, batch-idx: 1511, L1: 0.7189167141914368
Epoch: 99, batch-idx: 1511, L1: 0.9514583945274353
Epoch: 100, batch-idx: 1511, L1: 0.5840376615524292
Epoch: 101, batch-idx: 1511, L1: 0.5185909867286682
Epoch: 102, batch-idx: 1511, L1: 0.7505800127983093
Epoch: 103, batch-idx: 1511, L1: 0.6357317566871643
Epoch: 104, batch-idx: 1511, L1: 0.6570900678634644
